iteration, x, y
1, 3.9999999999999996, 3
2, 3.9999999999999996, 3
3, 3.9499999999999997, 3
4, 3.9499999999999997, 2.95
5, 3.8, 2.95
6, 3.8, 2.8000000000000003
7, 3.3499999999999996, 2.8000000000000003
8, 3.3499999999999996, 2.35
9, 1.9999999999999996, 2.35
10, 1.9999999999999996, 1
11, 1.9999999999999996, 1
12, 1.9999999999999996, 1
13, 2, 1
14, 2, 1
15, 0.9874999999999998, 1
16, 0.9874999999999998, -0.012500000000000178
17, 0.9874999999999998, -0.012500000000000178
18, 0.9874999999999998, -0.012500000000000178
19, 0.9874999999999998, -0.012500000000000178
20, 0.9874999999999998, -0.012500000000000178
21, 0.2281249999999997, -0.012500000000000178
22, 0.2281249999999997, -0.012500000000000178
23, 0.22812499999999947, -0.012500000000000178
24, 0.22812499999999947, -0.012500000000000178
25, 0.22812499999999947, -0.012500000000000178
26, 0.22812499999999947, -0.012500000000000178
27, 0.22812499999999947, -0.012500000000000178
28, 0.22812499999999947, -0.012500000000000178
29, 0.22812499999999947, -0.012500000000000178
30, 0.22812499999999947, -0.012500000000000178
31, 0.08574218749999946, -0.012500000000000178
32, 0.08574218749999946, 0.011230468749999827
33, 0.08574218749999946, 0.011230468749999827
34, 0.08574218749999946, 0.011230468749999833
35, 0.08574218749999943, 0.011230468749999833
36, 0.08574218749999943, 0.011230468749999833
37, -0.02104492187500058, 0.011230468749999833
38, -0.02104492187500058, 0.011230468749999833
39, -0.021044921875000566, 0.011230468749999833
40, -0.021044921875000566, 0.0023315429687498328
41, -0.021044921875000566, 0.0023315429687498328
42, -0.021044921875000566, 0.0023315429687498328
43, -0.021044921875000566, 0.0023315429687498328
44, -0.021044921875000566, 0.002331542968749831
45, 0.019000244140624435, 0.002331542968749831
46, 0.019000244140624435, 0.002331542968749831
47, 0.019000244140624428, 0.002331542968749831
48, 0.019000244140624428, 0.0023315429687498315
49, 0.019000244140624428, 0.0023315429687498315
50, 0.019000244140624428, 0.0006629943847654563
51, 0.019000244140624428, 0.0006629943847654563
52, 0.019000244140624428, 0.0006629943847654566
53, 0.003983306884765052, 0.0006629943847654566
54, 0.003983306884765052, 0.0006629943847654566
55, 0.003983306884765052, 0.0006629943847654566
56, 0.003983306884765052, -0.0005884170532228247
57, 0.003983306884765052, -0.0005884170532228247
58, 0.003983306884765052, -0.0005884170532228245
59, 0.003983306884765052, -0.0005884170532228245
60, 0.003983306884765052, -0.0005884170532228245
61, 0.003983306884765053, -0.0005884170532228245
62, 0.003983306884765053, -0.0005884170532228245
63, 0.0011676311492914196, -0.0005884170532228245
64, 0.0011676311492914196, -0.000119137763977219
65, 0.00116763114929142, -0.000119137763977219
66, 0.00116763114929142, -0.000119137763977219
67, 0.00116763114929142, -0.000119137763977219
68, 0.00116763114929142, -0.000119137763977219
69, -0.0009441256523138046, -0.000119137763977219
70, -0.0009441256523138046, -0.000119137763977219
71, -0.0009441256523138042, -0.000119137763977219
72, -0.0009441256523138042, -0.00011913776397721903
73, -0.0009441256523138042, -0.00011913776397721903
74, -0.0009441256523138042, -0.000031147897243668
75, -0.0009441256523138042, -0.000031147897243668
76, -0.0009441256523138042, -0.00003114789724366801
77, -0.00015221685171184487, -0.00003114789724366801
78, -0.00015221685171184487, -0.00003114789724366801
79, -0.00015221685171184487, -0.00003114789724366801
80, -0.00015221685171184487, -0.00003114789724366801
81, -0.00015221685171184487, -0.00003114789724366801
82, -0.00015221685171184487, -0.000031147897243668006
83, -0.00015221685171184487, -0.000031147897243668006
84, -0.00015221685171184487, -0.000014649797231127188
85, -0.00015221685171184487, -0.000014649797231127188
86, -0.00015221685171184487, -0.000014649797231127185
87, -0.0000037339515989775, -0.000014649797231127185
88, -0.0000037339515989775, -0.000014649797231127185
89, -0.0000037339515989774728, -0.000014649797231127185
90, -0.0000037339515989774728, -0.000002276222221721571
91, -0.0000037339515989774728, -0.000002276222221721571
92, -0.0000037339515989774728, -0.000002276222221721571
93, -0.0000037339515989774728, -0.000002276222221721571
94, -0.0000037339515989774728, -0.000002276222221721571
95, -0.0000037339515989774728, -0.000002276222221721571
96, -0.0000037339515989774728, -0.000002276222221721571
97, -0.0000037339515989774728, -0.000002276222221721571
98, -0.0000037339515989774728, -0.000002276222221721571
