b1, k, CF1
2, 5, 295
1.93, 5, 258
1.91, 4.95, 247
1.8, 4.8, 234
1.3499999999999996, 4.8, 95.4812945518808
1.3499999999999996, 4.35, 89.64002094030684
1.3499999999999992, 4.012499999999999, 83.0137146664043
1.3499999999999992, 4.012499999999999, 81.6908
1.3499999999999992, 4.012499999999999, 51.8521740933262
1.2656249999999991, 4.012499999999999, 34.53011782127953
1.012499999999999, 4.012499999999999, 30.292682617102198
1.0124999999999988, 4.012499999999999, 25.844107270585678
0.8226562499999988, 3.949218749999999, 24.737731541785152
0.8226562499999985, 3.949218749999999, 13.340437240871168
0.8226562499999988, 3.949218749999999, 12.709351664706947
0.8938476562499984, 3.949218749999999, 11.329680953985955
0.8938476562499984, 3.955151367187499, 8.972882873305563
0.8938476562499984, 3.955151367187499, 7.368181595427353
0.8938476562499984, 3.955151367187499, 7.354389553152937
0.8938476562499984, 3.955151367187499, 7.306929330431718
0.8938476562499984, 3.955151367187499, 7.434510852666683
0.8938476562499984, 3.955151367187499, 7.2524704462101015
0.9071960449218734, 3.955151367187499, 7.219660635594732
0.9071960449218734, 3.955151367187499, 7.2309029850030235
0.9071960449218734, 3.955151367187499, 7.354389553152939
0.9071960449218734, 3.956263732910155, 7.215810161160451
0.9071960449218734, 3.956263732910155, 7.282028606745847
0.9071960449218734, 3.959600830078124, 7.211341538937139
0.9172073364257797, 3.959600830078124, 7.206033105267829
0.9172073364257797, 3.959600830078124, 7.241053955455366
0.9172073364257797, 3.959600830078124, 7.319045721354496
