b1, k, CF3
2, 5, 399.6019502063511
1.95, 5, 396.630543391493
1.95, 4.95, 382.4067595578006
1.7999999999999998, 4.95, 358.056283714916187
1.7999999999999998, 4.8, 355.87386090364938
1.3499999999999996, 4.8, 313.5945035188008
1.3499999999999996, 4.35, 249.56771
1.3499999999999994, 4.35, 248.9045035188008
1.3499999999999992, 4.35, 247.50335107697117
1.2656249999999991, 4.012499999999999, 207.41113755606457
1.012499999999999, 4.012499999999999, 203.6775496345402
1.012499999999999, 3.7593749999999995, 182.93577682617404
1.0124999999999988, 3.7593749999999995, 182.8333769063544
0.8226562499999988, 3.7593749999999995, 191.1632777020418
0.8226562499999988, 3.8542968749999993, 184.43724182633855
1.1074218749999987, 3.8542968749999993, 172.1127102592686
1.1074218749999987, 3.8542968749999997, 170.1622574181998
1.0006347656249988, 3.8542968749999997, 160.92696045728874
1.0006347656249988, 3.8453979492187496, 160.97350229386066
0.9806121826171863, 3.8453979492187496, 160.49060706972912
0.9806121826171863, 3.843729400634765, 160.6518313845415
