b1, k, CF2
2, 5, 56.2916019502063511
1.95, 5, 54.3696630543391493
1.95, 4.95, 53.3424067595578006
1.7999999999999998, 4.95, 51.056283714916187
1.7999999999999998, 4.8, 50.87386090364938
1.3499999999999996, 4.8, 48.66583215203985
1.3499999999999996, 4.35, 45.1740165373709
1.3499999999999994, 4.35, 44.98826774261763
1.3499999999999992, 4.35, 44.78565465978213
1.3499999999999992, 4.012499999999999, 41.4468
1.2656249999999991, 4.012499999999999, 37.17846667332752
1.012499999999999, 4.012499999999999, 34.68469545417659
1.0124999999999988, 4.012499999999999, 31.965545802456848
1.0124999999999988, 3.9966796874999995, 31.384698916928667
1.0124999999999988, 4.002612304687499, 31.20943529752818
1.0123146057128896, 4.002612304687499, 31.209384557488956
1.0123146057128896, 4.003724670410156, 31.20852033691761
1.0125926971435537, 4.003724670410156, 31.210352621070705
